"","gene","start","end"
"1","thrL",190,255
"2","thrA",325,2799
"3","thrB",2789,3730
"4","thrC",3722,5020
"5","yaaA",5114,5898
"6","yaaJ",5966,7407
"7","talB",7652,8618
"8","mog",8718,9319
"9","yaaH",9376,9950
"10","htgA",10092,10811
"11","yaaI",10841,11255
"12","dnaK",11579,13509
"13","dnaJ",13577,14734
"14","STM0014",15007,15961
"15","STM0015",16083,16432
"16","STM0016",16493,17033
"17","STM0017",17043,17493
"18","STM0018",17860,19966
"19","STM0019",20051,23054
"20","STM0020",23335,24039
"21","bcfA",24462,25011
"22","bcfB",25105,25798
"23","bcfC",25803,28424
"24","bcfD",28410,29432
"25","bcfE",29418,29978
"26","bcfF",29977,30512
"27","bcfG",30466,31209
"28","bcfH",31270,32119
"29","STM0029",32545,33000
"30","STM0030",33357,34368
"31","STM0031",34376,34816
"32","STM0032",35331,37057
"33","STM0033",37103,38674
"34","STM0034",38773,39540
"35","STM0035",40120,41624
"36","STM0036",41717,42913
"37","STM0037",42926,44185
"38","STM0038",44305,46027
"39","nhaA",46083,47356
"40","nhaR",47407,48317
"41","STM0041",48372,50417
"42","STM0042",50451,51829
"43","rpsT",52280,52550
"44","yaaY",52649,52864
"45","ribF",52872,53810
"46","ileS",53838,56689
"47","lspA",56689,57189
"48","slpA",57328,57793
"49","lytB",57782,58746
"50","STM0050",58940,60148
"51","rihC",60151,61084
"52","STM0052",61106,61797
"53","STM0053",61794,63413
"54","STM0054",63548,64855
"55","STM0055",64862,66644
"56","STM0056",66654,66899
"57","STM0057",67052,68400
"58","citC2",68637,69680
"59","citD2",69703,70003
"60","citE2",69994,70869
"61","citF2",70873,72400
"62","citX2",72394,72951
"63","citG2",72923,73837
"64","dapB",74007,74838
"65","STM0065",75088,75435
"66","carA",75812,77028
"67","carB",77030,80274
"68","caiF",80459,80943
"69","caiE",81020,81627
"70","caiD",81725,82523
"71","caiC",82564,84131
"72","caiB",84180,85410
"73","caiA",85509,86662
"74","caiT",86686,88216
"75","fixA",88547,89454
"76","fixB",89459,90411
"77","fixC",90450,91747
"78","fixX",91728,92031
"79","yaaU",92166,93518
"80","STM0080",93601,93837
"81","STM0081",94123,94547
"82","STM0082",94771,95069
"83","STM0083",95271,95465
"84","STM0084",95952,97848
"85","yabF",98245,98785
"86","kefC",98765,100640
"87","folA",100826,101318
"88","apaH",101424,102272
"89","apaG",102283,102674
"90","ksgA",102663,103484
"91","pdxA",103481,104470
"92","surA",104470,105767
"93","imp",105810,108170
"94","djlA",108413,109236
"95","rluA",109331,110002
"96","hepA",110002,112908
"97","polB",113082,115445
"98","STM0098",115477,116102
"99","STM0099",116294,116601
"100","STM0100",116816,117235
"101","araD",117241,117949
"102","araA",118077,119591
"103","araB",119590,121412
