chrm,start,end,gene
chr1,190,255,thrL
chr1,325,2799,thrA
chr1,2789,3730,thrB
chr1,3722,5020,thrC
chr1,5114,5898,yaaA
chr1,5966,7407,yaaJ
chr1,7652,8618,talB
chr1,8718,9319,mog
chr1,9376,9950,yaaH
chr1,10092,10811,htgA
chr1,10841,11255,yaaI
chr1,11579,13509,dnaK
chr1,13577,14734,dnaJ
chr1,15007,15961,STM0014
chr1,16083,16432,STM0015
chr1,16493,17033,STM0016
chr1,17043,17493,STM0017
chr1,17860,19966,STM0018
chr1,20051,23054,STM0019
chr1,23335,24039,STM0020
chr1,24462,25011,bcfA
chr1,25105,25798,bcfB
chr1,25803,28424,bcfC
chr1,28410,29432,bcfD
chr1,29418,29978,bcfE
chr1,29977,30512,bcfF
chr1,30466,31209,bcfG
chr1,31270,32119,bcfH
chr1,32545,33000,STM0029
chr1,33357,34368,STM0030
chr1,34376,34816,STM0031
chr1,35331,37057,STM0032
chr1,37103,38674,STM0033
chr1,38773,39540,STM0034
chr1,40120,41624,STM0035
chr1,41717,42913,STM0036
chr1,42926,44185,STM0037
chr1,44305,46027,STM0038
chr1,46083,47356,nhaA
chr1,47407,48317,nhaR
chr1,48372,50417,STM0041
chr1,50451,51829,STM0042
chr1,52280,52550,rpsT
chr1,52649,52864,yaaY
chr1,52872,53810,ribF
chr1,53838,56689,ileS
chr1,56689,57189,lspA
chr1,57328,57793,slpA
chr1,57782,58746,lytB
chr1,58940,60148,STM0050
chr1,60151,61084,rihC
chr1,61106,61797,STM0052
chr1,61794,63413,STM0053
chr1,63548,64855,STM0054
chr1,64862,66644,STM0055
chr1,66654,66899,STM0056
chr1,67052,68400,STM0057
chr1,68637,69680,citC2
chr1,69703,70003,citD2
chr1,69994,70869,citE2
chr1,70873,72400,citF2
chr1,72394,72951,citX2
chr1,72923,73837,citG2
chr1,74007,74838,dapB
chr1,75088,75435,STM0065
chr1,75812,77028,carA
chr1,77030,80274,carB
chr1,80459,80943,caiF
chr1,81020,81627,caiE
chr1,81725,82523,caiD
chr1,82564,84131,caiC
chr1,84180,85410,caiB
chr1,85509,86662,caiA
chr1,86686,88216,caiT
chr1,88547,89454,fixA
chr1,89459,90411,fixB
chr1,90450,91747,fixC
chr1,91728,92031,fixX
chr1,92166,93518,yaaU
chr1,93601,93837,STM0080
chr1,94123,94547,STM0081
chr1,94771,95069,STM0082
chr1,95271,95465,STM0083
chr1,95952,97848,STM0084
chr1,98245,98785,yabF
chr1,98765,100640,kefC
chr1,100826,101318,folA
chr1,101424,102272,apaH
chr1,102283,102674,apaG
chr1,102663,103484,ksgA
chr1,103481,104470,pdxA
chr1,104470,105767,surA
chr1,105810,108170,imp
chr1,108413,109236,djlA
chr1,109331,110002,rluA
chr1,110002,112908,hepA
chr1,113082,115445,polB
chr1,115477,116102,STM0098
chr1,116294,116601,STM0099
chr1,116816,117235,STM0100
chr1,117241,117949,araD
chr1,118077,119591,araA
chr1,119590,121412,araB
chr1,121528,122485,araC
chr1,122593,123371,yabI
chr1,123410,124136,yabJ
chr1,124101,125728,yabK
chr1,125687,126680,tbpA
chr1,126848,128522,yabN
chr1,129057,129674,leuD
chr1,129673,131086,leuC
chr1,131076,132181,leuB
chr1,132167,133758,leuA
chr1,133826,134057,leuL
chr1,134557,135513,leuO
chr1,135770,137559,ilvI
chr1,137550,138053,ilvH
chr1,138326,139341,fruR
chr1,139931,140405,yabB
chr1,140388,141348,yabC
chr1,141333,141710,ftsL
chr1,141709,143492,ftsI
chr1,143469,144966,murE
chr1,144949,146321,murF
chr1,146301,147397,mraY
chr1,147386,148716,murD
chr1,148702,149960,ftsW
chr1,149947,151024,murG
chr1,151131,152618,murC
chr1,152595,153531,ddlB
chr1,153375,154363,ftsQ
chr1,154346,155622,ftsA
chr1,155670,156834,ftsZ
chr1,156919,157852,lpxC
chr1,158199,158627,yacA
chr1,158689,161394,secA
chr1,161532,161941,mutT
chr1,162263,162465,yacG
chr1,162464,163221,yacF
chr1,163207,163835,yacE
chr1,164040,165096,guaC
chr1,165127,166342,hofC
chr1,166319,167715,hofB
chr1,167714,168163,ppdD
chr1,168373,169279,nadC
chr1,169341,169917,ampD
chr1,169903,170768,ampE
chr1,170860,171822,STM0148
chr1,171810,173227,STM0149
chr1,173380,174812,aroP
chr1,175153,176080,pdhR
chr1,176227,178903,aceE
chr1,178904,180807,aceF
chr1,180898,182431,lpdA
chr1,182714,183004,STM0155
chr1,183042,183840,STM0156
chr1,183846,185488,yacH
chr1,185843,188454,acnB
chr1,188515,189363,STM0159
chr1,189591,189965,yacL
chr1,190186,191153,kdgT
chr1,191145,192421,STM0162
chr1,192403,193394,STM0163
chr1,193399,194171,STM0164
chr1,194201,195011,speD
chr1,195016,195889,speE
chr1,195983,196342,yacC
chr1,196520,198142,cueO
chr1,198220,200623,gcd
chr1,200804,201352,hpt
chr1,201410,202088,yadF
chr1,202173,203107,yadG
chr1,203091,203874,yadH
chr1,203991,205077,stiH
chr1,205079,207631,stiC
chr1,207652,208341,stiB
chr1,208383,208928,stiA
chr1,209282,209733,yadI
chr1,209795,211024,yadE
chr1,211031,211426,panD
chr1,211506,212373,panC
chr1,212486,213288,panB
chr1,213398,213888,folK
chr1,213874,215292,pcnB
chr1,215433,216374,yadB
chr1,216398,216866,dksA
chr1,217030,217745,sfsA
chr1,217751,218281,ligT
