"","Chromosome","ChromStart","ChromEnd","Gene_ID","Count"
"1","chr1",1347512,1348112,"aadA",15
"2","chr1",4180506,4180762,"aarF",4
"3","chr1",3170619,3171658,"aas",22
"4","chr1",1031629,1033350,"aat",7
"5","chr1",288230,288811,"abc",10
"6","chr1",795957,797199,"abrB",10
"7","chr1",274177,275947,"accA",6
"8","chr1",3552029,3552259,"accC",8
"9","chr1",2479753,2480427,"accD",11
"10","chr1",4405080,4406805,"aceA",13
"11","chr1",4403670,4404989,"aceB",11
"12","chr1",178904,180807,"aceE",31
"13","chr1",180898,182431,"aceF",26
"14","chr1",4406806,4407217,"aceK",13
"15","chr1",2449206,2451361,"ackA",8
"16","chr1",1808401,1809569,"acnA",44
"17","chr1",188515,189363,"acnB",30
"18","chr1",1736033,1736482,"acpD",4
"19","chr1",2722443,2723184,"acpS",2
"20","chr1",3751341,3751756,"acpT",9
"21","chr1",533757,534410,"acrA",14
"22","chr1",532422,533626,"acrB",26
"23","chr1",2597322,2597680,"acrD",36
"24","chr1",3562267,3565393,"acrE",8
"25","chr1",3565618,3565850,"acrF",25
"26","chr1",534529,537891,"acrR",2
"27","chr1",4515875,4515927,"acs",13
"28","chr1",2364275,2365341,"ada",10
"29","chr1",1539192,1540713,"add",13
"30","chr1",1845997,1846634,"adhE",23
"31","chr1",1648888,1649536,"adhP",13
"32","chr1",4541213,4542207,"adi",15
"33","chr1",4538713,4540994,"adiY",6
"34","chr1",546908,547875,"adk",1
"35","chr1",537933,538874,"aefA",29
"36","chr1",2591746,2593461,"aegA",26
"37","chr1",3384796,3386091,"aer",20
"38","chr1",549000,550304,"aes",13
"39","chr1",1204963,1205203,"agp",9
"40","chr1",671245,672822,"ahpC",2
"41","chr1",673148,673694,"ahpF",14
"42","chr1",4621296,4621629,"aidB",22
"43","chr1",2403942,2405098,"ais",5
"44","chr1",2974241,2974751,"alaS",21
"45","chr1",3869686,3870573,"aldB",27
"46","chr1",2212475,2213841,"alkA",11
"47","chr1",2363133,2364246,"alkB",8
"48","chr1",576550,577385,"allA",2
"49","chr1",585370,586679,"allB",11
"50","chr1",589983,591043,"allC",6
"51","chr1",591352,593025,"allD",6
"52","chr1",583949,585322,"allP",14
"53","chr1",577456,579251,"allR",4
"54","chr1",4469271,4470512,"alr",15
"55","chr1",2561195,2562103,"amiA",8
"56","chr1",4601698,4603550,"amiB",14
"57","chr1",3142836,3144179,"amiC",4
