"","Chromosome","ChromStart","ChromEnd","Band","Stain","genes"
"2","chr1",325,2799,"p4","gpos75","thrL"
"3","chr1",2800,3721,"p1","gpos50","thrA"
"4","chr1",3722,5020,"p6","gpos25","thrB"
"5","chr1",5114,5898,"p6","gpos100","thrC"
"6","chr1",5966,7407,"p6","gpos50","yaaA"
"7","chr1",7652,8618,"p2","gpos100","yaaJ"
"8","chr1",8718,9319,"p10","gpos25","talB"
"9","chr1",9376,9950,"p1","gpos100","mog"
"10","chr1",10092,10811,"p4","gpos100","yaaH"
"11","chr1",10841,11255,"p5","gpos25","htgA"
"12","chr1",11579,13509,"p1","gpos100","yaaI"
"13","chr1",13577,14734,"p3","gpos25","dnaK"
"14","chr1",15007,15961,"p10","gpos75","dnaJ"
"15","chr1",16083,16432,"p6","gpos100","STM0014"
"16","chr1",16493,17033,"p5","gpos100","STM0015"
"17","chr1",17043,17493,"p10","gpos50","STM0016"
"18","chr1",17860,19966,"p7","gpos25","STM0017"
"19","chr1",20051,23054,"p10","gpos50","STM0018"
"20","chr1",23335,24039,"p1","gpos100","STM0019"
"21","chr1",24462,25011,"p7","gpos50","STM0020"
"22","chr1",25105,25798,"p6","gpos100","bcfA"
"23","chr1",25803,28409,"p1","gpos50","bcfB"
"24","chr1",28410,29417,"p5","gpos25","bcfC"
"25","chr1",29418,29976,"p9","gpos50","bcfD"
"26","chr1",29977,30465,"p6","gpos25","bcfE"
"27","chr1",30466,31209,"p10","gpos50","bcfF"
"28","chr1",31270,32119,"p3","gpos50","bcfG"
"29","chr1",32545,33000,"p4","gpos50","bcfH"
"30","chr1",33357,34368,"p6","gpos75","STM0029"
"31","chr1",34376,34816,"p5","gpos25","STM0030"
"32","chr1",35331,37057,"p8","gpos100","STM0031"
"33","chr1",37103,38674,"p9","gpos100","STM0032"
"34","chr1",38773,39540,"p5","gpos75","STM0033"
"35","chr1",40120,41624,"p10","gpos75","STM0034"
"36","chr1",41717,42913,"p4","gpos25","STM0035"
"37","chr1",42926,44185,"p3","gpos25","STM0036"
"38","chr1",44305,46027,"p5","gpos100","STM0037"
"39","chr1",46083,47356,"p9","gpos25","STM0038"
"40","chr1",47407,48317,"p6","gpos50","nhaA"
"41","chr1",48372,50417,"p9","gpos25","nhaR"
"42","chr1",50451,51829,"p9","gpos50","STM0041"
"43","chr1",52280,52550,"p3","gpos50","STM0042"
"44","chr1",52649,52864,"p2","gpos100","rpsT"
"45","chr1",52872,53810,"p2","gpos25","yaaY"
"46","chr1",53838,56689,"p3","gpos25","ribF"
"47","chr1",56689,57189,"p9","gpos75","ileS"
"48","chr1",57328,57781,"p2","gpos25","lspA"
"49","chr1",57782,58746,"p1","gpos50","slpA"
"50","chr1",58940,60148,"p1","gpos25","lytB"
"51","chr1",60151,61084,"p7","gpos50","STM0050"
"52","chr1",61106,61793,"p3","gpos50","rihC"
"53","chr1",61794,63413,"p2","gpos100","STM0052"
"54","chr1",63548,64855,"p2","gpos25","STM0053"
"55","chr1",64862,66644,"p5","gpos50","STM0054"
"56","chr1",66654,66899,"p8","gpos25","STM0055"
"57","chr1",67052,68400,"p5","gpos75","STM0056"
"58","chr1",68637,69680,"p4","gpos25","STM0057"
"59","chr1",69703,69993,"p3","gpos100","citC2"
"60","chr1",69994,70869,"p10","gpos75","citD2"
"61","chr1",70873,72393,"p5","gpos50","citE2"
"62","chr1",72394,72922,"p6","gpos25","citF2"
"63","chr1",72923,73837,"p6","gpos100","citX2"
"64","chr1",74007,74838,"p9","gpos100","citG2"
"65","chr1",75088,75435,"p3","gpos50","dapB"
"66","chr1",75812,77028,"p2","gpos25","STM0065"
"67","chr1",77030,80274,"p10","gpos100","carA"
"68","chr1",80459,80943,"p7","gpos50","carB"
"69","chr1",81020,81627,"p9","gpos75","caiF"
