,gene,start,end
1,thrL,190,255
3,thrA,325,2799
6,thrB,2789,3730
10,thrC,3722,5020
12,yaaA,5114,5898
15,yaaJ,5966,7407
18,talB,7652,8618
21,mog,8718,9319
24,yaaH,9376,9950
27,htgA,10092,10811
30,yaaI,10841,11255
33,dnaK,11579,13509
36,dnaJ,13577,14734
39,STM0014,15007,15961
42,STM0015,16083,16432
45,STM0016,16493,17033
48,STM0017,17043,17493
51,STM0018,17860,19966
54,STM0019,20051,23054
57,STM0020,23335,24039
59,bcfA,24462,25011
62,bcfB,25105,25798
65,bcfC,25803,28424
67,bcfD,28410,29432
70,bcfE,29418,29978
73,bcfF,29977,30512
77,bcfG,30466,31209
79,bcfH,31270,32119
82,STM0029,32545,33000
85,STM0030,33357,34368
88,STM0031,34376,34816
90,STM0032,35331,37057
93,STM0033,37103,38674
95,STM0034,38773,39540
98,STM0035,40120,41624
101,STM0036,41717,42913
104,STM0037,42926,44185
107,STM0038,44305,46027
110,nhaA,46083,47356
115,nhaR,47407,48317
118,STM0041,48372,50417
121,STM0042,50451,51829
124,rpsT,52280,52550
127,yaaY,52649,52864
129,ribF,52872,53810
131,ileS,53838,56689
134,lspA,56689,57189
136,slpA,57328,57793
140,lytB,57782,58746
142,STM0050,58940,60148
145,rihC,60151,61084
148,STM0052,61106,61797
151,STM0053,61794,63413
153,STM0054,63548,64855
156,STM0055,64862,66644
159,STM0056,66654,66899
162,STM0057,67052,68400
165,citC2,68637,69680
167,citD2,69703,70003
171,citE2,69994,70869
173,citF2,70873,72400
176,citX2,72394,72951
180,citG2,72923,73837
182,dapB,74007,74838
185,STM0065,75088,75435
188,carA,75812,77028
195,carB,77030,80274
200,caiF,80459,80943
205,caiE,81020,81627
208,caiD,81725,82523
211,caiC,82564,84131
214,caiB,84180,85410
217,caiA,85509,86662
220,caiT,86686,88216
226,fixA,88547,89454
231,fixB,89459,90411
234,fixC,90450,91747
237,fixX,91728,92031
240,yaaU,92166,93518
243,STM0080,93601,93837
246,STM0081,94123,94547
249,STM0082,94771,95069
252,STM0083,95271,95465
254,STM0084,95952,97848
257,yabF,98245,98785
261,kefC,98765,100640
263,folA,100826,101318
266,apaH,101424,102272
268,apaG,102283,102674
271,ksgA,102663,103484
273,pdxA,103481,104470
275,surA,104470,105767
278,imp,105810,108170
280,djlA,108413,109236
283,rluA,109331,110002
286,hepA,110002,112908
288,polB,113082,115445
291,STM0098,115477,116102
294,STM0099,116294,116601
297,STM0100,116816,117235
299,araD,117241,117949
302,araA,118077,119591
305,araB,119590,121412
317,araC,121528,122485
324,yabI,122593,123371
327,yabJ,123410,124136
330,yabK,124101,125728
332,tbpA,125687,126680
336,yabN,126848,128522
339,leuD,129057,129674
342,leuC,129673,131086
344,leuB,131076,132181
348,leuA,132167,133758
351,leuL,133826,134057
356,leuO,134557,135513
361,ilvI,135770,137559
370,ilvH,137550,138053
373,fruR,138326,139341
376,yabB,139931,140405
380,yabC,140388,141348
382,ftsL,141333,141710
385,ftsI,141709,143492
388,murE,143469,144966
391,murF,144949,146321
394,mraY,146301,147397
398,murD,147386,148716
400,ftsW,148702,149960
403,murG,149947,151024
406,murC,151131,152618
409,ddlB,152595,153531
415,ftsQ,153375,154363
418,ftsA,154346,155622
420,ftsZ,155670,156834
423,lpxC,156919,157852
426,yacA,158199,158627
428,secA,158689,161394
430,mutT,161532,161941
433,yacG,162263,162465
436,yacF,162464,163221
438,yacE,163207,163835
442,guaC,164040,165096
445,hofC,165127,166342
448,hofB,166319,167715
451,ppdD,167714,168163
454,nadC,168373,169279
457,ampD,169341,169917
461,ampE,169903,170768
463,STM0148,170860,171822
466,STM0149,171810,173227
469,aroP,173380,174812
476,pdhR,175153,176080
482,aceE,176227,178903
485,aceF,178904,180807
489,lpdA,180898,182431
494,STM0155,182714,183004
497,STM0156,183042,183840
500,yacH,183846,185488
503,acnB,185843,188454
506,STM0159,188515,189363
509,yacL,189591,189965
512,kdgT,190186,191153
516,STM0162,191145,192421
518,STM0163,192403,193394
521,STM0164,193399,194171
524,speD,194201,195011
527,speE,195016,195889
530,yacC,195983,196342
533,cueO,196520,198142
536,gcd,198220,200623
539,hpt,200804,201352
542,yadF,201410,202088
545,yadG,202173,203107
548,yadH,203091,203874
551,stiH,203991,205077
554,stiC,205079,207631
557,stiB,207652,208341
560,stiA,208383,208928
563,yadI,209282,209733
566,yadE,209795,211024
568,panD,211031,211426
571,panC,211506,212373
574,panB,212486,213288
577,folK,213398,213888
580,pcnB,213874,215292
582,yadB,215433,216374
584,dksA,216398,216866
587,sfsA,217030,217745
590,ligT,217751,218281
592,hrpB,218296,220783
595,mrcB,220911,223446
598,fhuA,223726,225928
601,fhuC,225977,226774
603,fhuD,226774,227664
606,fhuB,227651,229718
608,stfA,230647,231218
611,stfC,231287,233961
614,stfD,233964,234731
617,stfE,234737,235262
620,stfF,235245,235735
624,stfG,235718,236265
626,STM0201,236265,237104
628,hemL,237212,238505
631,yadQ,238662,240083
633,yadR,240120,240509
635,yadS,240610,241247
638,btuF,241270,242077
640,pfs,242063,242761
643,dgt,242840,244363
646,htrA,244493,245920
648,cdaR,246061,247230
651,yaeH,247319,247717
654,STM0212,247943,249253
657,dapD,249290,250114
659,glnD,250144,252825
662,map,253053,253860
665,rpsB,254285,255023
668,tsf,255269,256132
671,pyrH,256265,257002
674,frr,257136,257706
677,dxr,257836,259043
680,uppS,259337,260114
683,cdsA,260114,260984
686,yaeL,260988,262348
689,yaeT,262380,264794
691,hlpA,264905,265402
695,lpxD,265391,266431
697,fabZ,266524,266992
701,lpxA,266984,267784
704,lpxB,267768,268932
706,rnhB,268915,269525
709,dnaE,269536,273031
712,accA,272938,274003
717,STM0233,274177,275947
720,ldcC,276012,278164
723,yaeR,278209,278609
726,mesJ,278665,279964
729,rof,280048,280321
731,yaeP,280295,280517
735,yaeQ,280680,281238
738,yaeJ,281220,281657
742,proS,282468,284202
745,yaeB,284297,285012
747,rcsF,285001,285416
751,yaeC,285524,286351
754,yaeE,286378,287044
757,abc,287024,288063
760,yaeD,288230,288811
763,rrsH,289190,290733
766,ileV,290801,290874
769,alaV,290987,291059
772,rrlH,291245,294337
775,rrfH,294520,294641
778,aspU,294839,294912
781,yafB,295060,295873
784,yafC,295894,296819
787,STM0257,296901,298088
790,yafD,298241,299020
792,yafE,299083,299868
795,dniR,299924,301291
797,gloB,301363,302128
800,yafS,302140,302875
803,rnhA,302872,303356
806,dnaQ,303403,304134
808,aspV,304278,304351
811,STM0266,304666,305721
813,STM0267,305732,306732
816,STM0268,306724,308613
819,STM0269,308623,309125
822,STM0270,309114,309944
825,STM0271,309925,310832
828,STM0272,311190,313834
831,STM0273,313927,314476
834,STM0274,314493,316008
837,STM0274A,316071,316181
839,STM0275,316308,316640
841,STM0276,316888,317379
844,STM0277,317678,318169
847,STM0278,318150,318537
850,STM0279,318674,319165
853,STM0280,319225,319768
856,STM0281,319768,321115
859,STM0282,321106,322416
862,STM0283,322414,323194
865,STM0284,323391,323828
868,STM0285,323857,327731
871,STM0286,327726,328519
874,STM0287,328510,328932
877,STM0288,328950,329477
880,STM0289,329867,332063
883,STM0290,332080,332533
886,STM0291,332541,336646
889,STM0292,337088,337836
892,STM0293,337825,338276
895,STM0294,338835,339276
898,STM0295,340039,340353
901,STM0296,340455,340703
904,safA,342207,342722
907,safB,342830,343543
909,safC,343560,346077
912,safD,346092,346569
915,ybeJ,346968,347796
918,sinR,348606,349558
921,STM0305,349672,349890
924,STM0306,349894,350619
927,STM0307,350944,351358
930,yafV,351722,352503
933,yafH,352598,355058
936,ghmA,355270,355860
939,yafJ,356063,356840
942,yafK,356811,357565
945,dinP,357788,358856
949,prfH,360188,360818
952,pepD,360974,362444
955,gpt,362662,363138
958,yafA,363212,364471
961,crl,364517,364930
964,phoE,364981,366179
972,proB,366309,367419
975,proA,367418,368681
978,thrW,368807,368879
981,STM0324,369153,369380
984,STM0325,369198,369998
987,STM0327,370726,371063
990,STM0328,371397,372642
993,STM0329,372766,374195
996,STM0330,374190,374823
999,STM0331,374831,375716
1002,STM0332,375712,376630
1005,STM0333,376656,377629
1008,STM0334,377574,377854
1011,STM0335,378531,378935
1014,stbE,378982,379748
1017,stbD,379706,381038
1020,stbC,381036,383603
1022,stbB,383581,384357
1026,stbA,384404,384948
1029,STM0341,385574,386338
1031,STM0342,386306,386610
1034,STM0343,387105,388684
1037,STM0344,388778,389527
1040,STM0345,389494,389988
1043,STM0346,390383,390913
1046,STM0347,391057,391698
1048,STM0348,391703,391933
